RELEASE_YEAR,BRAND,MODEL,LAPTOPCLASS,GPU_TDP_W,CPU_CORES,COOLINGTYPE,GPUTYPE,BATTERY_LIFE_IDLE_HR,BATTERY_LIFE_GAMING_HR,AVG_FPS_1080P,AVG_FPS_1440P,POWER_DRAW_W
2024,ASUS,ROG Strix G16,MID-RANGE,126.3,10,AC6,D,9.0,1.0,157.0,132.0,231.6
2024,ASUS,ROG Zephyrus G14,ULTRABOOK,83.2,24,AC4,D,9.3,1.0,132.0,103.0,193.6
2024,ASUS,TUF Gaming F16,BUDGET,94.1,16,AC5,D,9.5,0.9,136.0,108.0,206.2
2025,ASUS,ROG Strix Scar 18,ENTHUSIAST,162.1,12,AC8,D,6.4,1.4,174.0,142.0,281.4
2025,Razer,Blade 16,ENTHUSIAST,169.1,24,AC7,D,9.2,1.3,185.0,157.0,307.8
2024,Razer,Blade 14,ULTRABOOK,91.8,10,AC4,D,7.9,1.2,132.0,103.0,189.6
2023,Razer,Blade 15,MID-RANGE,152.3,10,AC5,D,10.4,1.2,167.0,142.0,270.7
2024,Lenovo,Legion Pro 7i,ENTHUSIAST,178.3,14,AC7,D,6.1,1.4,192.0,160.0,297.5
2025,Lenovo,Legion 9i,ENTHUSIAST,187.7,20,AC8,D,9.2,1.2,191.0,152.0,325.3
2024,Lenovo,LOQ 15,BUDGET,106.0,16,AC4,D,10.3,1.1,136.0,110.0,224.4
2024,Lenovo,Legion Slim 5,MID-RANGE,122.6,10,AC5,D,6.6,1.3,147.0,120.0,216.6
2025,MSI,Titan 18 HX,ENTHUSIAST,168.8,12,AC8,D,6.8,1.5,184.0,155.0,293.4
2023,MSI,Katana 15 HX,BUDGET,112.7,20,AC4,D,8.3,1.0,145.0,119.0,231.0
2024,MSI,Raider GE78 HX,ENTHUSIAST,158.8,16,AC7,D,9.0,1.3,170.0,143.0,278.4
2024,MSI,Stealth 16,MID-RANGE,130.6,14,AC5,D,6.4,1.1,157.0,130.0,240.3
2025,Acer,Predator Helios 18,ENTHUSIAST,189.1,14,AC8,D,8.4,1.1,194.0,155.0,318.5
2024,Acer,Predator Helios Neo 16,MID-RANGE,144.4,10,AC6,D,7.9,1.1,171.0,142.0,255.7
2025,Acer,Nitro V 16S AI,BUDGET,107.3,12,AC4,D,6.7,1.3,147.0,118.0,216.9
2023,Acer,Nitro 5,BUDGET,121.9,20,AC4,D,6.6,1.3,157.0,126.0,241.0
2025,Dell,Alienware m18 R2,ENTHUSIAST,187.6,10,AC8,D,6.8,1.4,204.0,161.0,308.7
2024,Dell,Alienware x16 R2,ENTHUSIAST,186.8,14,AC7,D,9.2,1.3,186.0,147.0,314.6
2023,Dell,G16 7630,MID-RANGE,152.5,10,AC6,D,6.2,1.2,172.0,135.0,263.8
2023,HP,Omen 17,ENTHUSIAST,169.3,20,AC7,D,9.1,1.2,188.0,155.0,304.4
2025,HP,Omen Transcend 14,ULTRABOOK,86.6,16,AC4,D,9.6,1.4,124.0,99.0,191.8
2023,HP,Victus 16,BUDGET,91.4,12,AC4,D,6.2,1.5,137.0,115.0,193.8
2024,Gigabyte,Aorus 16X,MID-RANGE,126.7,14,AC5,D,9.0,1.2,155.0,127.0,240.6
2023,Gigabyte,Aorus 17X,ENTHUSIAST,161.2,24,AC7,D,7.1,1.4,175.0,140.0,302.0
2024,Samsung,Odyssey Neo,MID-RANGE,121.0,16,AC5,D,8.9,1.0,152.0,124.0,231.0
2023,LG,UltraGear 17,BUDGET,110.5,12,AC4,D,7.6,1.2,152.0,119.0,219.2
2025,Alienware,m16 R2,MID-RANGE,122.0,20,AC6,D,9.5,1.5,148.0,122.0,243.4
